"CT,20200223,8,6,0,0,2"
"EX,20200223,0,0,0,0,0"
"GA,20200223,0,0,0,0,0"
"IB,20200223,0,0,0,0,0"
"MC,20200223,1,1,0,0,0"
"MD,20200223,44,44,0,0,0"
"ML,20200223,0,0,0,0,0"
"NC,20200223,1,1,0,0,0"
"PV,20200223,1,1,0,0,0"
"RI,20200223,1,1,0,0,0"
"VC,20200223,5,5,0,0,0"
"AN,20200224,6,6,0,0,0"
"AR,20200224,1,1,0,0,0"
"AS,20200224,0,0,0,0,0"
"CB,20200224,0,0,0,0,0"
"CE,20200224,0,0,0,0,0"
"CL,20200224,5,4,1,0,0"
"CM,20200224,5,1,0,0,4"
"CN,20200224,0,0,0,0,0"
"CT,20200224,14,9,0,0,5"
"EX,20200224,0,0,0,0,0"
"GA,20200224,1,1,0,0,0"
"IB,20200224,0,0,0,0,0"
"MC,20200224,2,1,1,0,0"
"MD,20200224,57,57,0,0,0"
"ML,20200224,0,0,0,0,0"
"NC,20200224,3,3,0,0,0"
"PV,20200224,6,6,0,0,0"
"RI,20200224,2,2,0,0,0"
"VC,20200224,15,13,2,0,0"
"AN,20200225,9,9,0,0,0"
"AR,20200225,2,2,0,0,0"
"AS,20200225,1,1,0,0,0"
"CB,20200225,8,8,0,0,0"
"CE,20200225,0,0,0,0,0"
"CL,20200225,6,5,1,0,0"
"CM,20200225,5,1,0,0,4"
"CN,20200225,2,1,0,0,1"
"CT,20200225,20,17,0,0,3"
"EX,20200225,5,2,3,0,0"
"GA,20200225,3,2,0,0,1"
"IB,20200225,0,0,0,0,0"
"MC,20200225,3,1,2,0,0"
"MD,20200225,50,50,0,0,0"
"ML,20200225,0,0,0,0,0"
"NC,20200225,4,2,2,0,0"
"PV,20200225,12,11,0,0,1"
"RI,20200225,2,2,0,0,0"
"VC,20200225,10,8,2,0,0"
"AN,20200226,9,9,0,0,0"
"AR,20200226,2,2,0,0,0"
"AS,20200226,0,0,0,0,0"
"CB,20200226,0,0,0,0,0"
"CE,20200226,0,0,0,0,0"
"CL,20200226,8,7,1,0,0"
